patent_id,title,filing_year,grant_year,country,assignee,technology_field,citations,inventor_count,patent_status,patent_family_size
PT000001,Innovative Telecommunications System 1,2013,2014,Japan,NextGen Robotics,Renewable Energy,188,2,Pending,12
PT000002,Innovative Artificial Intelligence System 2,2012,2016,USA,GreenFuture Labs,Semiconductors,59,1,Pending,4
PT000003,Innovative Electric Vehicles System 3,2023,2025,Switzerland,Quantum Circuits Ltd,Artificial Intelligence,194,3,Pending,7
PT000004,Innovative Renewable Energy System 4,2020,2023,Japan,Global Energy Systems,Biotechnology,23,7,Active,6
PT000005,Innovative Artificial Intelligence System 5,2021,2024,India,NanoWorks,Biotechnology,249,7,Active,9
PT000006,Innovative Nanotechnology System 6,2019,2022,Japan,MedGenome Labs,Biotechnology,11,4,Expired,2
PT000007,Innovative Robotics System 7,2017,2018,South Korea,SmartComm Technologies,Pharmaceuticals,41,6,Expired,4
PT000008,Innovative Nanotechnology System 8,2018,2019,Germany,NanoWorks,Semiconductors,41,8,Expired,5
PT000009,Innovative Artificial Intelligence System 9,2017,2020,Japan,TechNova Corp,Pharmaceuticals,102,5,Active,4
PT000010,Innovative Electric Vehicles System 10,2020,2022,France,AI Dynamics,Electric Vehicles,36,5,Active,4
PT000011,Innovative Nanotechnology System 11,2018,2022,France,Global Energy Systems,Semiconductors,35,8,Active,13
PT000012,Innovative Renewable Energy System 12,2011,2012,Germany,AI Dynamics,Robotics,152,2,Expired,7
PT000013,Innovative Quantum Computing System 13,2024,2027,USA,AI Dynamics,Biotechnology,174,5,Pending,6
PT000014,Innovative Robotics System 14,2013,2016,Germany,SmartComm Technologies,Artificial Intelligence,244,5,Pending,13
PT000015,Innovative Telecommunications System 15,2015,2016,Canada,FutureDrive Motors,Semiconductors,39,6,Active,9
PT000016,Innovative Electric Vehicles System 16,2010,2013,USA,GreenFuture Labs,Pharmaceuticals,224,5,Active,1
PT000017,Innovative Biotechnology System 17,2017,2018,India,GreenFuture Labs,Quantum Computing,196,3,Active,11
PT000018,Innovative Telecommunications System 18,2025,2027,Canada,FutureDrive Motors,Robotics,246,4,Pending,13
PT000019,Innovative Robotics System 19,2016,2019,UK,SmartComm Technologies,Quantum Computing,115,2,Active,4
PT000020,Innovative Artificial Intelligence System 20,2012,2015,Switzerland,NanoWorks,Semiconductors,150,4,Active,2
PT000021,Innovative Biotechnology System 21,2011,2013,USA,Global Energy Systems,Biotechnology,131,4,Expired,11
PT000022,Innovative Quantum Computing System 22,2025,2027,Germany,MedGenome Labs,Nanotechnology,147,8,Active,13
PT000023,Innovative Semiconductors System 23,2025,2029,China,GreenFuture Labs,Robotics,90,7,Expired,8
PT000024,Innovative Artificial Intelligence System 24,2011,2012,France,MedGenome Labs,Pharmaceuticals,204,2,Active,4
PT000025,Innovative Renewable Energy System 25,2016,2020,France,BioHealth Inc,Telecommunications,118,4,Active,8
PT000026,Innovative Quantum Computing System 26,2013,2014,USA,GreenFuture Labs,Semiconductors,42,7,Expired,8
PT000027,Innovative Artificial Intelligence System 27,2016,2020,Germany,InnovateX,Artificial Intelligence,99,5,Expired,5
PT000028,Innovative Renewable Energy System 28,2023,2027,Japan,Quantum Circuits Ltd,Semiconductors,247,1,Pending,12
PT000029,Innovative Artificial Intelligence System 29,2011,2014,USA,FutureDrive Motors,Electric Vehicles,128,3,Active,9
PT000030,Innovative Biotechnology System 30,2012,2014,Switzerland,GreenFuture Labs,Semiconductors,103,2,Pending,4
PT000031,Innovative Robotics System 31,2011,2012,Switzerland,FutureDrive Motors,Quantum Computing,80,5,Active,11
PT000032,Innovative Telecommunications System 32,2020,2022,France,BioHealth Inc,Telecommunications,117,6,Active,1
PT000033,Innovative Biotechnology System 33,2024,2025,Canada,NextGen Robotics,Quantum Computing,67,3,Expired,15
